scenario,zone,layer,metric,n_zig,n_cpp,median_zig_ns,median_cpp_ns,ratio_median,ci_lo,ci_hi,cv_zig_pct,cv_cpp_pct,verdict
build_solo_watershed_map_3,rcFilterLowHangingWalkableObstacles,build,min_ns,7,7,14713800.0,17487800.0,0.8413751300906918,0.807495827506879,0.8585649995950901,2.447806165432647,2.107314176403736,FASTER
build_solo_watershed_map_3,rcFilterWalkableLowHeightSpans,build,min_ns,7,7,14891000.0,16139600.0,0.9226374879179162,0.8771761708915382,0.9691611922259693,1.229599526770958,3.97956132704349,FASTER
build_solo_watershed_map_3,rcRasterizeTriangles,build,min_ns,7,7,249745900.0,273908300.0,0.9117865358588988,0.9038068317408369,0.9224585245613951,0.6314586484949255,0.7748255871921299,FASTER
build_solo_monotone_map_1,dtCreateNavMeshData,build,min_ns,7,7,9024800.0,15968400.0,0.5651662032514215,0.5603698580632298,0.568848047094119,0.4925926296530149,0.4084947767979232,FASTER
build_solo_monotone_map_1,rcBuildCompactHeightfield,build,min_ns,7,7,88436600.0,115139800.0,0.7680801946850698,0.7523325571128059,0.7810285768741386,1.2825553587963532,1.2138438866689574,FASTER
build_solo_monotone_map_1,rcBuildContours,build,min_ns,7,7,49234400.0,51152500.0,0.9625023214896633,0.9410326092197665,1.0100425268268007,2.8160035521218707,4.078249619959327,tie(noise)
build_solo_monotone_map_1,rcBuildPolyMesh,build,min_ns,7,7,340720000.0,477132900.0,0.7140987343358632,0.7093238264042975,0.7193613914729468,0.20994064460235343,0.7646214136801728,FASTER
build_solo_monotone_map_1,rcBuildPolyMeshDetail,build,min_ns,7,7,237821700.0,256739100.0,0.9263166381747073,0.9189510110576025,0.9327075413612672,0.5770466495801883,1.0501302599629,FASTER
build_solo_monotone_map_1,rcBuildRegionsMonotone,build,min_ns,7,7,92348800.0,92819800.0,0.9949256516389822,0.9797295404644267,1.0167572771365152,1.725410374349569,2.9029498784753724,tie(noise)
build_solo_monotone_map_1,rcErodeWalkableArea,build,min_ns,7,7,62500600.0,66958000.0,0.9334299112876728,0.9273389069662494,0.9372572882834408,0.2418799779250274,0.5646154798665504,FASTER
build_solo_monotone_map_1,rcFilterLedgeSpans,build,min_ns,7,7,108575700.0,152179100.0,0.7134731379013282,0.7057325073623834,0.7228432417552093,0.6310860438765614,0.8124820715898503,FASTER
build_solo_monotone_map_1,rcFilterLowHangingWalkableObstacles,build,min_ns,7,7,15714300.0,17034200.0,0.92251470570969,0.8857410619695683,0.952908968921477,2.682619073159689,2.036194898914248,FASTER
build_solo_monotone_map_1,rcFilterWalkableLowHeightSpans,build,min_ns,7,7,14091400.0,16359100.0,0.8613799047624869,0.849078389766469,0.9332138483518726,2.9799901701624023,5.014781710355622,FASTER
build_solo_monotone_map_1,rcRasterizeTriangles,build,min_ns,7,7,186697700.0,208920800.0,0.893629069006054,0.8878570421508676,0.8985690150898107,0.5970434135595244,0.2940678822603513,FASTER
build_solo_layers_map_1,dtCreateNavMeshData,build,min_ns,7,7,8799800.0,15322400.0,0.5743095076489323,0.5663117197147494,0.5780624604154015,0.4768468103540665,0.6907091991891474,FASTER
